monthid,sinusitis_claim_count
20170101,380
20170201,300
20170301,226
20170401,199
20170501,231
20170601,191
20170701,126
20170801,141
20170901,620
20171001,817
20171101,841
20171201,3785
20180101,4499
20180201,3486
20180301,1634
20180401,1668
20180501,1206
20180601,1053
20180701,804
20180801,811
20180901,991
20181001,1321
20181101,1319
20181201,1816
20190101,4578
20190201,3188
20190301,2877
20190401,2575
20190501,2180
20190601,1612
20190701,1368
20190801,1317
20190901,1679
20191001,2239
20191101,2316
20191201,2625
20200101,3547
20200201,2608
20200301,2154
20200401,1303
20200501,852
20200601,717
20200701,802
20200801,883
20200901,1072
20201001,1127
20201101,1068
20201201,1204
20210101,1726
20210201,1361
20210301,1409
20210401,1137
20210501,1114
20210601,1245
20210701,1392
20210801,1383
20210901,1356
20211001,1502
20211101,1922
20211201,1928
20220101,1969
20220201,1453
20220301,2116
20220401,2221
20220501,2040
20220601,1683
20220701,1458
20220801,1469
20220901,1565
20221001,2093
20221101,2319
20221201,2720
20230101,3201
20230201,1941
20230301,2267
20230401,2781
20230501,2555
20230601,2204
20230701,1644
